@label,@year,球隊勝率,進攻:命中率:投籃命中率%,進攻:命中率:三分球命中率%,進攻:命中率:罰球命中率%,進攻:籃板:進攻籃板,進攻:籃板:防守籃板,進攻:助攻,進攻:抄截,進攻:阻攻,進攻:失誤,進攻:平均每場得分,防守:命中率:對手投籃命中率%,防守:命中率:對手三分球命中率%,防守:命中率:對手罰球命中率%,防守:籃板:對手進攻籃板,防守:籃板:對手防守籃板,防守:對手助攻,防守:對手抄截,防守:對手阻攻,防守:對手造成我方失誤,防守:平均每場被得分
亞特蘭大老鷹,2015,58.5,45.8,35,45.8,8.3,33.8,25.6,9.1,5.9,15,102.8,43.2,33.8,75.5,11.5,35,22,8.6,5,16.1,99.2
波士頓塞爾蒂克,2015,58.5,43.9,33.5,43.9,11.6,33.3,24.2,9.2,4.2,13.7,105.7,44.1,33.6,75.5,11.4,34.6,20.9,7.6,5.5,16.4,102.5
布魯克林籃網,2015,25.6,45.3,35.2,45.3,10.5,31.9,22.3,7.6,4,14.8,98.6,47.9,36.9,76.3,10.2,33.2,24.5,8.8,5.2,14.2,106
夏洛特黃蜂,2015,58.5,43.9,36.2,43.9,9,35,21.7,7.3,5.3,12.5,103.4,44.4,34.9,76.9,8.9,35.8,23.2,6.7,5.5,13.4,100.7
芝加哥公牛,2015,51.2,44.1,37.1,44.1,11.1,35.2,22.8,6,5.7,13.9,101.6,44.1,34.5,73.7,11.8,34.1,22.5,8,5.7,11.9,103.1
克里夫蘭騎士,2015,69.5,46,36.2,46,10.6,33.9,22.7,6.7,3.9,13.6,104.3,44.8,34.7,74.3,9.3,31.8,21.4,7.2,4.4,13.3,98.3
達拉斯小牛,2015,51.2,44.4,34.4,44.4,9.2,33.9,22.1,6.8,3.7,12.8,102.3,45.1,34.2,73.8,10.6,35.2,22,7.5,4.4,13.9,102.6
丹佛金塊,2015,40.2,44.2,33.8,44.2,11.5,33.1,22.7,7.4,4.8,14.7,101.9,46.1,37.1,76.1,9.7,32.9,23.5,8,6.3,13.7,105
底特律活塞,2015,53.7,43.9,34.5,43.9,12.5,33.9,19.4,7,3.7,13.5,102,46.1,35.5,78.3,8.8,33.7,21.5,7.1,4.5,13.4,101.4
金州勇士,2015,89,48.7,41.6,48.7,10,36.2,28.9,8.4,6.1,15.2,114.9,43.5,33.2,75.7,11.4,32.5,22.2,8.7,4.1,14.5,104.1
休士頓火箭,2015,50,45.2,34.7,45.2,11.3,31.7,22.2,10,5.2,15.9,106.5,45.9,36.1,75.6,11.8,32.8,24.6,9,4.9,16.6,106.4
印第安納溜馬,2015,54.9,45,35.1,45,10.3,33.9,21.2,9,4.8,14.9,102.2,44,33.4,75.1,10.7,33.8,20.8,7.7,4.5,15.8,100.5
洛杉磯快艇,2015,64.6,46.5,36.4,46.5,8.8,33.3,22.8,8.6,5.6,13,104.5,43.4,33.8,75.1,11.8,34.9,21.2,7.1,3.2,15.4,100.2
洛杉磯湖人,2015,20.7,41.4,31.7,41.4,10.7,32.3,18,7.2,4.1,13.7,97.3,47.3,34.7,73.1,10.9,35.5,24.7,7.5,5.6,12.6,106.9
莫菲斯灰熊,2015,51.2,44,33.1,44,11.2,30.5,20.7,8.8,4.3,13.3,99.1,45.6,36.5,76.8,10.1,33.1,21.9,7,5.7,16.2,101.3
邁阿密熱火,2015,58.5,47,33.6,47,9.8,34.3,20.8,6.7,6.5,14.1,100,44.2,34.7,77,9.8,31.5,20.2,7.5,4.1,12.9,98.4
密爾瓦基公鹿,2015,40.2,46.7,34.5,46.7,10.5,31.2,23.1,8.2,5.8,15.2,99,45.4,35.3,76.8,11.5,31.5,24.5,8.3,5.6,15.5,103.2
